17:52:09 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron1, -3, -1, Este), (ACTOR_DRON = dron1, -1, 0, Sur), (ACTOR_DRON = dron1, 0, -2, Sur), (ACTOR_DRON = dron1, 3, -1, Sur))) *******************************************
21:22:57 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-7, -2, -1, Este), (ACTOR_DRON = dron-7, -1, 0, Sur), (ACTOR_DRON = dron-7, -1, -2, Sur), (ACTOR_DRON = dron-7, 2, 0, Sur))) *******************************************
21:22:57 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-8, -1, 0, Norte), (ACTOR_DRON = dron-8, -1, 0, Norte), (ACTOR_DRON = dron-8, -3, 2, Oeste), (ACTOR_DRON = dron-8, -1, -1, Sur))) *******************************************
21:24:34 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-9, -3, -1, Este), (ACTOR_DRON = dron-9, -1, 0, Sur), (ACTOR_DRON = dron-9, 0, -2, Sur), (ACTOR_DRON = dron-9, 3, -1, Sur))) *******************************************
21:24:34 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-10, -2, -1, Este), (ACTOR_DRON = dron-10, -1, 0, Sur), (ACTOR_DRON = dron-10, -1, -2, Sur), (ACTOR_DRON = dron-10, 2, 0, Sur))) *******************************************
21:24:34 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-11, -1, 0, Norte), (ACTOR_DRON = dron-11, -1, 0, Norte), (ACTOR_DRON = dron-11, -3, 2, Oeste), (ACTOR_DRON = dron-11, -1, -1, Sur))) *******************************************
21:27:09 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-1, -2, -1, Este), (ACTOR_DRON = dron-1, -1, 0, Sur), (ACTOR_DRON = dron-1, -1, -2, Sur), (ACTOR_DRON = dron-1, 2, 0, Sur))) *******************************************
21:27:09 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-2, -1, 0, Norte), (ACTOR_DRON = dron-2, -1, 0, Norte), (ACTOR_DRON = dron-2, -3, 2, Oeste), (ACTOR_DRON = dron-2, -1, -1, Sur))) *******************************************
21:27:09 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-0, -3, -1, Este), (ACTOR_DRON = dron-0, -1, 0, Sur), (ACTOR_DRON = dron-0, 0, -2, Sur), (ACTOR_DRON = dron-0, 3, -1, Sur))) *******************************************
21:31:28 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-1, -2, -1, Este), (ACTOR_DRON = dron-1, -1, 0, Sur), (ACTOR_DRON = dron-1, -1, -2, Sur), (ACTOR_DRON = dron-1, 2, 0, Sur))) *******************************************
21:31:28 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-0, -3, -1, Este), (ACTOR_DRON = dron-0, -1, 0, Sur), (ACTOR_DRON = dron-0, 0, -2, Sur), (ACTOR_DRON = dron-0, 3, -1, Sur))) *******************************************
21:32:31 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-3, -3, -1, Este), (ACTOR_DRON = dron-3, -1, 0, Sur), (ACTOR_DRON = dron-3, 0, -2, Sur), (ACTOR_DRON = dron-3, 3, -1, Sur))) *******************************************
21:32:31 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-4, -2, -1, Este), (ACTOR_DRON = dron-4, -1, 0, Sur), (ACTOR_DRON = dron-4, -1, -2, Sur), (ACTOR_DRON = dron-4, 2, 0, Sur))) *******************************************
21:32:31 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-5, -1, 0, Norte), (ACTOR_DRON = dron-5, -1, 0, Norte), (ACTOR_DRON = dron-5, -3, 2, Oeste), (ACTOR_DRON = dron-5, -1, -1, Sur))) *******************************************
21:33:41 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-7, -2, -1, Este), (ACTOR_DRON = dron-7, -1, 0, Sur), (ACTOR_DRON = dron-7, -1, -2, Sur), (ACTOR_DRON = dron-7, 2, 0, Sur))) *******************************************
21:35:37 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-2, -1, 0, Norte), (ACTOR_DRON = dron-2, -1, 0, Norte), (ACTOR_DRON = dron-2, -3, 2, Oeste), (ACTOR_DRON = dron-2, -1, -1, Sur))) *******************************************
21:35:37 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-0, -3, -1, Este), (ACTOR_DRON = dron-0, -1, 0, Sur), (ACTOR_DRON = dron-0, 0, -2, Sur), (ACTOR_DRON = dron-0, 3, -1, Sur))) *******************************************
21:36:14 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-4, -2, -1, Este), (ACTOR_DRON = dron-4, -1, 0, Sur), (ACTOR_DRON = dron-4, -1, -2, Sur), (ACTOR_DRON = dron-4, 2, 0, Sur))) *******************************************
21:36:23 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-6, -3, -1, Este), (ACTOR_DRON = dron-6, -1, 0, Sur), (ACTOR_DRON = dron-6, 0, -2, Sur), (ACTOR_DRON = dron-6, 3, -1, Sur))) *******************************************
21:36:23 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-7, -2, -1, Este), (ACTOR_DRON = dron-7, -1, 0, Sur), (ACTOR_DRON = dron-7, -1, -2, Sur), (ACTOR_DRON = dron-7, 2, 0, Sur))) *******************************************
21:36:23 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-8, -1, 0, Norte), (ACTOR_DRON = dron-8, -1, 0, Norte), (ACTOR_DRON = dron-8, -3, 2, Oeste), (ACTOR_DRON = dron-8, -1, -1, Sur))) *******************************************
21:43:34 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-1, -2, -1, Este), (ACTOR_DRON = dron-1, -1, 0, Sur), (ACTOR_DRON = dron-1, -1, -2, Sur), (ACTOR_DRON = dron-1, 2, 0, Sur))) *******************************************
21:46:39 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-1, -2, -1, Este), (ACTOR_DRON = dron-1, -1, 0, Sur), (ACTOR_DRON = dron-1, -1, -2, Sur), (ACTOR_DRON = dron-1, 2, 0, Sur))) *******************************************
21:46:39 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-2, -1, 0, Norte), (ACTOR_DRON = dron-2, -1, 0, Norte), (ACTOR_DRON = dron-2, -3, 2, Oeste), (ACTOR_DRON = dron-2, -1, -1, Sur))) *******************************************
21:47:25 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-5, -1, 0, Norte), (ACTOR_DRON = dron-5, -1, 0, Norte), (ACTOR_DRON = dron-5, -3, 2, Oeste), (ACTOR_DRON = dron-5, -1, -1, Sur))) *******************************************
21:49:56 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-7, -2, -1, Este), (ACTOR_DRON = dron-7, -1, 0, Sur), (ACTOR_DRON = dron-7, -1, -2, Sur), (ACTOR_DRON = dron-7, 2, 0, Sur))) *******************************************
21:50:05 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-9, -3, -1, Este), (ACTOR_DRON = dron-9, -1, 0, Sur), (ACTOR_DRON = dron-9, 0, -2, Sur), (ACTOR_DRON = dron-9, 3, -1, Sur))) *******************************************
21:50:05 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-11, -1, 0, Norte), (ACTOR_DRON = dron-11, -1, 0, Norte), (ACTOR_DRON = dron-11, -3, 2, Oeste), (ACTOR_DRON = dron-11, -1, -1, Sur))) *******************************************
21:50:05 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-10, -2, -1, Este), (ACTOR_DRON = dron-10, -1, 0, Sur), (ACTOR_DRON = dron-10, -1, -2, Sur), (ACTOR_DRON = dron-10, 2, 0, Sur))) *******************************************
21:58:50 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-1, -2, -1, Este), (ACTOR_DRON = dron-1, -1, 0, Sur), (ACTOR_DRON = dron-1, -1, -2, Sur), (ACTOR_DRON = dron-1, 2, 0, Sur))) *******************************************
21:58:50 INFO  Dron {sucorrientazo.actors.Dron entregarAlmuerzos} - SUCORRIENTAZO - **************************************** REPORTE = Reporte(List((ACTOR_DRON = dron-0, -3, -1, Este), (ACTOR_DRON = dron-0, -1, 0, Sur), (ACTOR_DRON = dron-0, 0, -2, Sur), (ACTOR_DRON = dron-0, 3, -1, Sur))) *******************************************
